paper_id,title,year,authors,venue,url,abstract,abstract_clean
e340d585dc57432db4a6ce60c558a06babe42b4b,A Hierarchical Approach for Advanced Persistent Threat Detection with Attention-Based Graph Neural Networks,2021,Zitong Li; Xiang Cheng; Lixiao Sun; Ji Zhang; Bing Chen,Secur. Commun. Networks,https://downloads.hindawi.com/journals/scn/2021/9961342.pdf,"Advanced Persistent Threats (APTs) are the most sophisticated attacks for modern information systems. Currently, more and more researchers begin to focus on graph-based anomaly detection methods that leverage graph data to model normal behaviors and detect outliers for defending against APTs. However, previous studies of provenance graphs mainly concentrate on system calls, leading to difficulties in modeling network behaviors. Coarse-grained correlation graphs depend on handcrafted graph construction rules and, thus, cannot adequately explore log node attributes. Besides, the traditional Graph Neural Networks (GNNs) fail to consider meaningful edge features and are difficult to perform heterogeneous graphs embedding. To overcome the limitations of the existing approaches, we present a hierarchical approach for APT detection with novel attention-based GNNs. We propose a metapath aggregated GNN for provenance graph embedding and an edge enhanced GNN for host interactive graph embedding; thus, APT behaviors can be captured at both the system and network levels. A novel enhancement mechanism is also introduced to dynamically update the detection model in the hierarchical detection framework. Evaluations show that the proposed method outperforms the state-of-the-art baselines in APT detection.",advance persistent threat apts sophisticate attack modern system currently researcher begin focus graph-based anomaly method leverage graph normal behavior outlier defend apts however study provenance graph mainly concentrate call lead difficulty model behavior coarse-grained correlation graph depend handcraft graph construction rule thus cannot adequately explore log node attribute besides traditional graph neural network gnns fail consider meaningful edge feature difficult perform heterogeneous graph embed overcome limitation approach hierarchical apt attention-based gnns metapath aggregate gnn provenance graph embed edge enhance gnn host interactive graph embed thus apt behavior capture level enhancement mechanism also introduce dynamically update hierarchical evaluation outperform state-of-the-art baseline apt
fe6ea488803963ebb83a49a4ed7a21e613c37f52,A multi-layer approach for advanced persistent threat detection using machine learning based on network traffic,2021,Cho Do Xuan; Duc Duong; Xuan Dau Hoang,Journal of Intelligent & Fuzzy Systems,https://www.semanticscholar.org/paper/fe6ea488803963ebb83a49a4ed7a21e613c37f52,"Advanced Persistent Threat (APT) is a dangerous network attack method that is widely used by attackers nowadays. During the APT attack process, attackers often use advanced techniques and tools, thus, causing many difficulties for information security systems. In fact, to detect the APT attacks, intrusion detection systems cannot rely on one technique or method but often combine multiple techniques and methods. In addition, the approach for APT attack detection using behavior analysis and evaluation techniques is facing many difficulties due to the lack of characteristic data of attack campaigns. For the above reasons, in this paper, we propose a method for APT attack detection based on a multi-layer analysis. The multi-layer analysis technique in our proposal computes and analyzes various events in Network Traffic to detect and synthesize abnormal signs and behaviors in order to make conclusions about the existence of APT in the system. Specifically, in our proposal, we will use serial 3 main layers for the APT attack detection process including i) Detecting APT attacks based on analyzing abnormal connection; ii) Detecting APT attacks based on analyzing and evaluating Suricata log; iii) Detecting APT attacks based on analyzing behavior profiles that are compiled from layers (i) and (ii). To achieve these goals, the multi-layer analysis technique for APT attack detection will perform 2 main tasks: i) Analyzing and evaluating components of Network Traffic based on abnormal signs and behaviors. ii) building and classifying behavior profile based on each component of network traffic. In the experimental section, we will compare and evaluate the effectiveness of the APT attack detection process of each layer in the multi-layer analysis model using machine learning. Experimental results have shown that the APT attack detection method based on analyzing behavior profile has yielded better results than individual detection methods on all metrics. The research results shown in the paper not only demonstrate the effectiveness of the multilayer analysis model for APT attack detection but also provide a novel approach for detecting several other cyber-attack techniques.",advance persistent threat apt dangerous widely attacker nowadays apt process attacker often advance technique tool thus cause many difficulty system fact apt attack intrusion system cannot rely often combine technique method addition apt behavior evaluation technique face many difficulty lack characteristic campaign reason apt multi-layer multi-layer proposal compute analyze event traffic synthesize abnormal sign behavior order conclusion existence apt specifically proposal serial main layer apt process include detect apt attack analyze abnormal connection detect apt attack analyze evaluate suricata log iii detect apt attack analyze behavior profile compile layer goal multi-layer apt perform main task analyze evaluate component traffic abnormal sign behavior build classify behavior profile component traffic experimental section compare effectiveness apt process layer multi-layer machine learn experimental result show apt analyze behavior profile yield better result individual method metric result show effectiveness multilayer apt also detect several cyber-attack technique
fd8f26c7eed86bb72a5c4c5d293ad8b1454a55da,AI Powered Threat Detection in Cybersecurity,2021,Goutham Sunkara,International journal of humanities and information technology,https://www.semanticscholar.org/paper/fd8f26c7eed86bb72a5c4c5d293ad8b1454a55da,Since cyber threats are becoming more complex in scale frequency and novelties the traditional methods of the cybersecurity industry are becoming insufficient in detecting and preventing malicious behaviors in real time Artificial intelligence has been proposed as a breakthrough in cybersecurity defense that can detect threats more efficiently by providing systems with the ability to learn new attacks based on large pools of data identify patterns and evolve to react to new vectors this paper investigates the integration of AI into cybersecurity systems with its emphasis on machine learning as one of the techniques employed to detect anomalies malware phishing and advanced persistent threats it also evaluates different AI models.,since threat become complex scale frequency novelty traditional method cybersecurity industry become insufficient detect prevent malicious behavior artificial intelligence breakthrough cybersecurity threat efficiently provide system ability learn attack pool identify pattern evolve react vector investigate integration cybersecurity system emphasis machine learn technique employ anomaly malware phishing advance persistent threat also evaluate model
ab0634b369ff37412c111c3c3a9386c37ea44237,ANUBIS: a provenance graph-based framework for advanced persistent threat detection,2021,Md. Monowar Anjum; Shahrear Iqbal; B. Hamelin,ACM Symposium on Applied Computing,https://arxiv.org/pdf/2112.11032,"We present ANUBIS, a highly effective machine learning-based APT detection system. Our design philosophy for ANUBIS involves two principal components. Firstly, we intend ANUBIS to be effectively utilized by cyber-response teams. Therefore, prediction explainability is one of the main focuses of ANUBIS design. Secondly, ANUBIS uses system provenance graphs to capture causality and thereby achieves high detection performance. At the core of the predictive capability of ANUBIS, there is a Bayesian Neural Network that can tell how confident it is in its predictions. We evaluate ANUBIS against a recent APT dataset (DARPA OpTC) and show that ANUBIS can detect malicious activity akin to APT campaigns with high accuracy. Moreover, ANUBIS learns about high-level patterns that allow it to explain its predictions to threat analysts. The high predictive performance with explainable attack story reconstruction makes ANUBIS an effective tool to use for enterprise cyber defense.",anubis highly machine learning-based apt design philosophy anubis involve principal component firstly intend anubis effectively utilize cyber-response team therefore prediction explainability main focus anubis design secondly anubis use provenance graph capture causality thereby achieve performance core predictive capability anubis bayesian neural tell confident prediction anubis apt dataset darpa optc anubis malicious activity akin apt campaign accuracy moreover anubis learn high-level pattern allow explain prediction threat analyst predictive performance explainable story reconstruction make anubis enterprise
ffffd7609b92b935bf987d5d39cc5f722f0ec620,Advanced Persistent Threat Detection: A Survey,2021,Adam Khalid; A. Zainal; Mohd Aizaini Maarof; Fuad A. Ghaleb,"International Conference on Cybernetics, Robotics and Control",https://www.semanticscholar.org/paper/ffffd7609b92b935bf987d5d39cc5f722f0ec620,"Advanced Persistent Threat is a very sophisticated targeted attack aimed at organizations. Several approaches have been proposed to detect APT. This paper defines an APT as an attack that has certain objectives to be achieved, and are performed by well-funded organizations, and is long term campaign. In this paper we have identified APT as a threat that follows a kill chain process. Intrusion detection and intrusion detection methods are summarized in this paper. Detection of an APT is a challenge. In this paper various detection methods used by researchers and the challenges in detecting APT is highlighted.",advance persistent threat sophisticate target aim organization several approach apt define apt certain objective achieve perform well-funded organization long term campaign identify apt threat follow kill chain process intrusion intrusion method summarize apt challenge method researcher challenge detect apt highlight
ace4e9301779a2510babcaf1bf450f6b9682191e,Advancements in Cloud Security: Leveraging Machine Learning for Threat Detection,2021,Dr. Samuel Green,Universal Research Reports,https://www.semanticscholar.org/paper/ace4e9301779a2510babcaf1bf450f6b9682191e,"Cloud security is becoming increasingly vital as organizations migrate their data and services to cloud infrastructures. This paper investigates the integration of machine learning (ML) algorithms into cloud security frameworks to improve threat detection and mitigate security risks. With the advent of complex, distributed cloud environments, traditional security mechanisms often fail to detect sophisticated attacks such as Distributed Denial of Service (DDoS), Advanced Persistent Threats (APTs), and zero-day vulnerabilities. Machine learning models, including supervised, unsupervised, and reinforcement learning, offer new methodologies to detect and respond to security anomalies. The study explores how ML techniques, such as anomaly detection, classification, and clustering, can be applied to large-scale cloud data to identify malicious behaviors in real time. By employing neural networks and decision trees, cloud-based systems can learn from historical attack patterns to improve detection accuracy. The paper presents a comparative analysis of ML models used in threat detection, including Random Forest, Support Vector Machines (SVM), and Convolutional Neural Networks (CNN), demonstrating their effectiveness in enhancing cloud security postures. Moreover, it delves into the challenges of implementing ML in cloud environments, including data privacy, the risk of adversarial attacks on ML models, and the need for real-time processing of large datasets. The paper also proposes a hybrid framework that combines ML-based threat detection with traditional security measures like firewalls and intrusion detection systems (IDS). Future directions for improving ML-driven cloud security are discussed, particularly in the context of emerging technologies like edge computing and the Internet of Things (IoT).",cloud become increasingly vital organization migrate service cloud infrastructure investigate integration machine learn algorithm cloud framework threat mitigate risk advent complex distribute cloud environment traditional mechanism often fail sophisticate attack distribute denial service ddos advance persistent threat apts zero-day vulnerability machine learn model include supervise unsupervised reinforcement learn offer methodology respond anomaly explore technique anomaly classification cluster apply large-scale cloud identify malicious behavior employ neural network decision tree cloud-based system learn historical pattern accuracy present comparative model threat include random forest support vector machine svm convolutional neural network cnn demonstrate effectiveness enhance cloud posture moreover delve challenge implement cloud environment include privacy risk adversarial attack model need real-time process datasets also propose hybrid combine ml-based threat traditional measure like firewall intrusion system id future direction improve ml-driven cloud discuss particularly context emerge technology like edge compute internet thing iot
2117e0ae0881777288918e3c80f866d70efe5faa,Attribution Classification Method of APT Malware in IoT Using Machine Learning Techniques,2021,Shudong Li; Qianqing Zhang; Xiaobo Wu; Weihong Han; Zhihong Tian,Secur. Commun. Networks,https://downloads.hindawi.com/journals/scn/2021/9396141.pdf,"In recent years, the popularity of IoT (Internet of Things) applications and services has brought great convenience to people's lives, but ubiquitous IoT has also brought many security problems. Among them, advanced persistent threat (APT) is one of the most representative attacks, and its continuous outbreak has brought unprecedented security challenges for the large-scale deployment of the IoT. However, important research on analyzing the attribution of APT malware samples is still relatively few. Therefore, we propose a classification method for attribution organizations with APT malware in IoT using machine learning. It aims to mark the real attacking organization entities to better identify APT attack activity and protect the security of IoT. This method performs feature representation and feature selection based on APT behavior data obtained from devices in the Internet of Things and selects the features with a high degree of differentiation among organizations. Then, it trains a multiclass model named SMOTE-RF that can better deal with imbalance and multiclassification problems. Our experiments on real dynamic behavior data are combined to verify the effectiveness of the method proposed in this paper for attribution analysis of APT malware samples and achieve good performance. Our method could identify the organization behind complex APT attacks in IoT devices and services.",year popularity iot internet thing application service bring great convenience people live ubiquitous iot also bring many problem among advance persistent threat apt representative attack continuous outbreak bring unprecedented challenge large-scale deployment iot however analyze attribution apt malware sample still relatively therefore classification attribution organization apt malware iot machine learn aim mark attack organization entity better identify apt activity protect iot perform feature representation feature selection apt behavior obtain device internet thing select feature degree differentiation among organization train multiclass name smote-rf better deal imbalance multiclassification problem experiment dynamic behavior combine verify effectiveness attribution apt malware sample good performance could identify organization behind complex apt attack iot device service
8e958366c0e5242a50da12cab839ba4420f7e02c,DMAPT: Study of Data Mining and Machine Learning Techniques in Advanced Persistent Threat Attribution and Detection,2021,P. Charan; P. Anand; S. Shukla,Artificial Intelligence,https://doi.org/10.5772/intechopen.99291,"Modern-day malware is intelligent enough to hide its presence and perform stealthy operations in the background. Advance Persistent Threat (APT) is one such kind of malware attack on sensitive corporate and banking networks to stay there for a long time undetected. In real-time corporate networks, identifying the presence of intruders is a big challenging task for security experts. Recent APT attacks like Carbanak, The Big Bang, and Red Echo attack (targeting the Indian power sector) are ringing alarms globally. New data exfiltration methods and advancements in malware techniques are the two main reasons for rapid and robust APT evolution. Although many traditional and hybrid methods are available to detect this stealthy malware, the number of target-specific attacks are increasing rapidly at global level. Attackers have been crafting payloads resistant to malware sandbox environments so that traditional sandboxing techniques may not work with these APT malware detection. In this paper, we shed light on various Data Mining, Machine Learning techniques and frameworks used in both Attribution and Detection of APT malware. Added to this, our work highlight GAP analysis and need for paradigm shift in existing techniques to deal with evolving modern APT malware.",modern-day malware intelligent enough hide presence perform stealthy operation background advance persistent threat apt kind malware sensitive corporate bank network stay long undetected real-time corporate network identify presence intruder big challenge task expert apt attack like carbanak big bang red echo target indian power sector ring alarm globally exfiltration method advancement malware technique main reason rapid robust apt evolution although many traditional hybrid method available stealthy malware target-specific attack increase rapidly global attacker craft payload resistant malware sandbox environment traditional sandboxing technique may apt malware shed light mine machine learn technique framework attribution apt malware add highlight gap need paradigm shift technique deal evolve modern apt malware
ad86ee5ff484fa8f6e4475237b855c881d1fb012,Defense Against Advanced Persistent Threats in Smart Grids: A Reinforcement Learning Approach,2021,Baifeng Ning; Liang Xiao,Cybersecurity and Cyberforensics Conference,https://www.semanticscholar.org/paper/ad86ee5ff484fa8f6e4475237b855c881d1fb012,"In smart girds, supervisory control and data acquisition (SCADA) systems have to protect data from advanced persistent threats (APTs), which exploit vulnerabilities of the power infrastructures to launch stealthy and targeted attacks. In this paper, we propose a reinforcement learning-based APT defense scheme for the control center to choose the detection interval and the number of Central Processing Units (CPUs) allocated to the data concentrators based on the data priority, the size of the collected meter data, the history detection delay, the previous number of allocated CPUs, and the size of the labeled compromised meter data without the knowledge of the attack interval and attack CPU allocation model. The proposed scheme combines deep learning and policy-gradient based actor-critic algorithm to accelerate the optimization speed at the control center, where an actor network uses the softmax distribution to choose the APT defense policy and the critic network updates the actor network weights to improve the computational performance. The advantage function is applied to reduce the variance of the policy gradient. Simulation results show that our proposed scheme has a performance gain over the benchmarks in terms of the detection delay, data protection level, and utility.",smart gird supervisory control acquisition scada system protect advance persistent threat apts exploit vulnerability power infrastructure launch stealthy target attack reinforcement learning-based apt scheme control center choose interval central process unit cpu allocate concentrators priority size collect meter history delay allocate cpu size label compromise meter without knowledge interval cpu allocation scheme combine deep learn policy-gradient actor-critic accelerate optimization speed control center actor use softmax distribution choose apt policy critic update actor weight computational performance advantage function apply reduce variance policy gradient simulation result scheme performance gain benchmark term delay protection utility
b669487122f3ef6f5775d93bbee13c845a895419,Detection of Advanced Persistent Threat based on Kill Chain Node Mapping and LSTM,2021,Juefu Li,EITCE,https://www.semanticscholar.org/paper/b669487122f3ef6f5775d93bbee13c845a895419,"The advanced persistent threat (APT) has caused serious damage to the core information infrastructure of many governments and organizations. How to correlatively analyze the massive logs generated by various security devices become a key point to effectively detect such new type of attack. This paper analyzes features of the APT attack and proposes a new APT detection method based on the extended cyber kill chain and the long and short-term memory network which can extensively correlate network behaviors. Furtherly, the idea of the proposed method provides a new direction for the application and practice of detecting complex cyber attacks.",advance persistent threat apt cause serious damage core infrastructure many government organization correlatively massive log generate device become key point effectively analyze feature apt propose apt extend kill chain long short-term memory extensively correlate behavior furtherly idea provide direction application practice detect complex attack
